"Listing of the SUBTLEX-GR entries that resulted from the spell-checking process along with their frequency and lexical characteristics." 
"Please refer to the manuscript for a detailed description of the information contained in each column." 
 
 
"ID" "Word" "FREQcount" "CD" "SUBTLEX_WF" "Lg10WF" "SUBTLEX_CD" "Lg10CD" "FREQlow" "FREQupper" "N" "OLD20" "Length" "SUBTLEX_WF_full"
58 "αβγατίζει" 2 2 0.0864 0.4771 0.0363 0.4771 2 0 0 3 9 0.0720
59 "αβγατίσω" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 0 2.95 8 0.0360
60 "αβγό" 142 72 6.1309 2.1553 1.3072 1.8633 134 8 5 1.7 4 5.1151
61 "αβγοτάραχο" 2 2 0.0864 0.4771 0.0363 0.4771 1 1 0 4.35 10 0.0720
62 "αβγού" 8 5 0.3454 0.9542 0.0908 0.7782 8 0 3 1.8 5 0.2882
63 "αβγουλάκι" 3 2 0.1295 0.6021 0.0363 0.4771 3 0 1 2.7 9 0.1081
64 "αβγουλάτων" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 0 3.95 10 0.0360
65 "αβγών" 9 7 0.3886 1.0000 0.1271 0.9031 9 0 1 1.9 5 0.3242
66 "αβέβαια" 2 2 0.0864 0.4771 0.0363 0.4771 2 0 2 2.05 7 0.0720
67 "αβέβαιες" 9 9 0.3886 1.0000 0.1634 1.0000 9 0 1 2.2 8 0.3242
68 "αβέβαιη" 14 14 0.6045 1.1761 0.2542 1.1761 14 0 2 2.35 7 0.5043
69 "αβέβαιο" 21 20 0.9067 1.3424 0.3631 1.3222 19 2 2 2.05 7 0.7565
70 "αβέβαιοι" 2 2 0.0864 0.4771 0.0363 0.4771 1 1 2 2.25 8 0.0720
71 "αβέβαιος" 11 11 0.4749 1.0792 0.1997 1.0792 11 0 3 2.1 8 0.3962
72 "αβεβαιότητα" 42 40 1.8134 1.6335 0.7262 1.6128 40 2 0 3.25 11 1.5129
73 "αβεβαιότητας" 15 15 0.6476 1.2041 0.2723 1.2041 14 1 0 3.3 12 0.5403
74 "αβέβαιου" 2 2 0.0864 0.4771 0.0363 0.4771 2 0 2 2.3 8 0.0720
75 "αβέβαιους" 3 3 0.1295 0.6021 0.0545 0.6021 3 0 0 2.55 9 0.1081
76 "Άβελ" 23 12 0.9930 1.3802 0.2179 1.1139 1 22 0 2 4 0.8285
77 "Αβελάρδος" 3 2 0.1295 0.6021 0.0363 0.4771 0 3 0 3.65 9 0.1081
78 "αβέρτα" 5 5 0.2159 0.7782 0.0908 0.7782 5 0 0 2 6 0.1801
79 "Αβησσυνία" 2 2 0.0864 0.4771 0.0363 0.4771 0 2 0 3.8 9 0.0720
80 "Αβησσυνίας" 1 1 0.0432 0.3010 0.0182 0.3010 0 1 0 4.1 10 0.0360
81 "αβίαστα" 7 6 0.3022 0.9031 0.1089 0.8451 7 0 2 2.05 7 0.2522
82 "αβίαστη" 2 2 0.0864 0.4771 0.0363 0.4771 2 0 3 1.8 7 0.0720
83 "αβίαστο" 2 2 0.0864 0.4771 0.0363 0.4771 2 0 4 1.75 7 0.0720
84 "αβιάστου" 2 1 0.0864 0.4771 0.0182 0.3010 2 0 1 2.05 8 0.0720
85 "αβίδωτη" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 1 2.75 7 0.0360
86 "άβιο" 2 2 0.0864 0.4771 0.0363 0.4771 2 0 6 1.65 4 0.0720
87 "αβιογενετικές" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 0 5 13 0.0360
88 "άβιου" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 5 1.65 5 0.0360
89 "αβίωτο" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 0 2.15 6 0.0360
90 "αβίωτος" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 0 2.5 7 0.0360
91 "αβλαβείς" 28 26 1.2089 1.4624 0.4720 1.4314 26 2 0 2.35 8 1.0086
92 "αβλαβές" 16 15 0.6908 1.2304 0.2723 1.2041 15 1 1 1.75 7 0.5763
93 "άβλαβες" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 1 1.75 7 0.0360
94 "αβλαβή" 21 20 0.9067 1.3424 0.3631 1.3222 20 1 0 2.2 6 0.7565
95 "αβλαβής" 43 36 1.8565 1.6435 0.6536 1.5682 40 3 2 2.25 7 1.5489
96 "αβλέμονα" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 0 3 8 0.0360
97 "αβλεψία" 4 4 0.1727 0.6990 0.0726 0.6990 4 0 0 2.75 7 0.1441
