"Listing of the SUBTLEX-GR entries that resulted from the spell-checking process along with their frequency and lexical characteristics." 
"Please refer to the manuscript for a detailed description of the information contained in each column." 
 
 
"ID" "Word" "FREQcount" "CD" "SUBTLEX_WF" "Lg10WF" "SUBTLEX_CD" "Lg10CD" "FREQlow" "FREQupper" "N" "OLD20" "Length" "SUBTLEX_WF_full"
3896 "ακροβάτης" 32 19 1.3816 1.5185 0.3450 1.3010 32 0 2 2.25 9 1.1527
3897 "ακροβατικά" 30 20 1.2953 1.4914 0.3631 1.3222 27 3 2 2.4 10 1.0806
3898 "ακροβατικές" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 2 2.35 11 0.0360
3899 "ακροβατική" 5 5 0.2159 0.7782 0.0908 0.7782 5 0 2 2.3 10 0.1801
3900 "ακροβατικής" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 2 2.35 11 0.0360
3901 "ακροβατικό" 12 11 0.5181 1.1139 0.1997 1.0792 12 0 2 2.35 10 0.4323
3902 "ακροβατικός" 2 2 0.0864 0.4771 0.0363 0.4771 2 0 3 2.4 11 0.0720
3903 "ακροβατικού" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 1 2.7 11 0.0360
3904 "ακροβατικών" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 0 2.7 11 0.0360
3905 "ακροβάτις" 2 1 0.0864 0.4771 0.0182 0.3010 2 0 2 2.15 9 0.0720
3906 "ακροβάτισσα" 2 2 0.0864 0.4771 0.0363 0.4771 2 0 0 3.1 11 0.0720
3907 "ακροβατούν" 2 2 0.0864 0.4771 0.0363 0.4771 2 0 0 2.95 10 0.0720
3908 "ακροβατώ" 2 2 0.0864 0.4771 0.0363 0.4771 1 1 1 2.5 8 0.0720
3909 "ακροβατών" 4 4 0.1727 0.6990 0.0726 0.6990 4 0 0 2.3 9 0.1441
3910 "ακροβολιστές" 4 3 0.1727 0.6990 0.0545 0.6021 3 1 1 3.65 12 0.1441
3911 "ακροβολιστή" 2 2 0.0864 0.4771 0.0363 0.4771 2 0 0 3.55 11 0.0720
3912 "Ακροβολίστηκαν" 1 1 0.0432 0.3010 0.0182 0.3010 0 1 0 4.45 14 0.0360
3913 "ακροβολιστής" 7 5 0.3022 0.9031 0.0908 0.7782 7 0 1 3.7 12 0.2522
3914 "ακροβολιστών" 4 2 0.1727 0.6990 0.0363 0.4771 4 0 0 4 12 0.1441
3915 "ακροβυστία" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 0 3.55 10 0.0360
3916 "ακρογιαλιά" 9 6 0.3886 1.0000 0.1089 0.8451 9 0 0 3.7 10 0.3242
3917 "ακρογιαλιές" 4 3 0.1727 0.6990 0.0545 0.6021 4 0 0 3.75 11 0.1441
3918 "ακρογωνιαίοι" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 1 5 12 0.0360
3919 "ακρογωνιαίος" 13 11 0.5613 1.1461 0.1997 1.0792 13 0 1 4.75 12 0.4683
3920 "ακροδάχτυλα" 8 6 0.3454 0.9542 0.1089 0.8451 7 1 0 4.7 11 0.2882
3921 "ακροδέκτες" 5 4 0.2159 0.7782 0.0726 0.6990 5 0 1 2.7 10 0.1801
3922 "ακροδέκτη" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 0 2.7 9 0.0360
3923 "ακροδέκτης" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 1 2.8 10 0.0360
3924 "ακροδεξιά" 3 3 0.1295 0.6021 0.0545 0.6021 3 0 1 2.85 9 0.1081
3925 "ακροδεξιάς" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 1 2.85 10 0.0360
3926 "ακροδεξιές" 2 2 0.0864 0.4771 0.0363 0.4771 2 0 1 2.9 10 0.0720
3927 "ακροδεξιό" 3 3 0.1295 0.6021 0.0545 0.6021 3 0 1 3.05 9 0.1081
3928 "ακροδεξιοί" 8 5 0.3454 0.9542 0.0908 0.7782 8 0 0 3.3 10 0.2882
3929 "ακροδεξιούς" 2 2 0.0864 0.4771 0.0363 0.4771 2 0 0 3.5 11 0.0720
3930 "ακροδεξιών" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 0 3.4 10 0.0360
3931 "ακροθαλασσιά" 6 6 0.2591 0.8451 0.1089 0.8451 6 0 0 4.25 12 0.2161
3932 "ακροθαλασσιάς" 2 2 0.0864 0.4771 0.0363 0.4771 2 0 0 4.4 13 0.0720
3933 "άκρον" 2 2 0.0864 0.4771 0.0363 0.4771 2 0 3 1.7 5 0.0720
3934 "ακροποδητί" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 0 4.25 10 0.0360
3935 "Ακρόπολη" 15 11 0.6476 1.2041 0.1997 1.0792 1 14 0 2.85 8 0.5403
3936 "Ακρόπολης" 3 3 0.1295 0.6021 0.0545 0.6021 1 2 1 2.9 9 0.1081
3937 "Ακρόπολις" 3 3 0.1295 0.6021 0.0545 0.6021 0 3 1 3.4 9 0.1081
3938 "ακρόπρωρο" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 0 3.9 9 0.0360
3939 "ακροπύργιο" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 0 3.75 10 0.0360
3940 "άκρος" 7 7 0.3022 0.9031 0.1271 0.9031 7 0 9 1.4 5 0.2522
3941 "ακροστιχίδα" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 0 4.7 11 0.0360
3942 "ακρότητα" 5 3 0.2159 0.7782 0.0545 0.6021 3 2 1 2.05 8 0.1801
3943 "ακρότητες" 7 7 0.3022 0.9031 0.1271 0.9031 6 1 0 2.55 9 0.2522
3944 "ακροτήτων" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 0 2.75 9 0.0360
3945 "ακροχορδών" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 0 3.9 10 0.0360
3946 "ακρυλικά" 2 2 0.0864 0.4771 0.0363 0.4771 1 1 1 2.7 8 0.0720
3947 "ακρυλικές" 2 2 0.0864 0.4771 0.0363 0.4771 1 1 0 2.75 9 0.0720
3948 "ακρυλικό" 2 2 0.0864 0.4771 0.0363 0.4771 2 0 1 2.5 8 0.0720
3949 "ακρυλικού" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 1 2.55 9 0.0360
3950 "άκρων" 9 9 0.3886 1.0000 0.1634 1.0000 9 0 5 1.5 5 0.3242
3951 "Ακρωνύμια" 1 1 0.0432 0.3010 0.0182 0.3010 0 1 1 3.1 9 0.0360
3952 "ακρωνύμιο" 8 5 0.3454 0.9542 0.0908 0.7782 7 1 1 3.25 9 0.2882
3953 "ακρώνυμο" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 0 2.7 8 0.0360
3954 "άκρως" 221 187 9.5418 2.3464 3.3951 2.2742 192 29 5 1.75 5 7.9608
3955 "Ακρωτήρι" 24 17 1.0362 1.3979 0.3086 1.2553 8 16 0 2.75 8 0.8645
3956 "ακρωτήρια" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 1 2.25 9 0.0360
3957 "ακρωτηρίαζα" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 3 2.35 11 0.0360
3958 "ακρωτηριάζαμε" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 0 3.05 13 0.0360
3959 "ακρωτηρίαζε" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 3 2.15 11 0.0360
3960 "ακρωτηριάζει" 5 5 0.2159 0.7782 0.0908 0.7782 5 0 1 2.3 12 0.1801
3961 "ακρωτηριάζεις" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 1 2.9 13 0.0360
3962 "ακρωτηριάζεται" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 0 3.3 14 0.0360
3963 "ακρωτηριάζετε" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 1 2.8 13 0.0360
3964 "ακρωτηριάζονται" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 1 4.3 15 0.0360
3965 "ακρωτηριάζοντας" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 1 4.4 15 0.0360
3966 "ακρωτηριάζουμε" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 1 3.4 14 0.0360
3967 "ακρωτηριάζουν" 4 3 0.1727 0.6990 0.0545 0.6021 3 1 1 3.1 13 0.1441
3968 "ακρωτηριάζω" 3 3 0.1295 0.6021 0.0545 0.6021 2 1 3 2.4 11 0.1081
3969 "ακρωτηρίασα" 5 4 0.2159 0.7782 0.0726 0.6990 4 1 4 2.15 11 0.1801
3970 "ακρωτηρίασαν" 3 3 0.1295 0.6021 0.0545 0.6021 2 1 0 2.4 12 0.1081
3971 "ακρωτηρίασε" 9 9 0.3886 1.0000 0.1634 1.0000 7 2 4 1.85 11 0.3242
3972 "ακρωτηριάσει" 2 2 0.0864 0.4771 0.0363 0.4771 2 0 1 1.95 12 0.0720
3973 "ακρωτηριάσεις" 4 3 0.1727 0.6990 0.0545 0.6021 4 0 1 2.5 13 0.1441
3974 "ακρωτηριάσετε" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 1 2.55 13 0.0360
3975 "ακρωτηρίαση" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 3 2.25 11 0.0360
3976 "ακρωτηριασθεί" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 1 2.55 13 0.0360
3977 "ακρωτηριάσθηκαν" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 1 4 15 0.0360
3978 "ακρωτηριασμένα" 12 12 0.5181 1.1139 0.2179 1.1139 10 2 2 2.6 14 0.4323
3979 "ακρωτηριασμένες" 2 2 0.0864 0.4771 0.0363 0.4771 2 0 1 3.05 15 0.0720
3980 "ακρωτηριασμένη" 4 4 0.1727 0.6990 0.0726 0.6990 4 0 2 2.6 14 0.1441
3981 "ακρωτηριασμένο" 14 13 0.6045 1.1761 0.2360 1.1461 14 0 2 2.4 14 0.5043
3982 "ακρωτηριασμένοι" 5 5 0.2159 0.7782 0.0908 0.7782 4 1 1 2.85 15 0.1801
3983 "ακρωτηριασμένος" 10 10 0.4318 1.0414 0.1816 1.0414 10 0 2 2.8 15 0.3602
3984 "ακρωτηριασμένους" 2 2 0.0864 0.4771 0.0363 0.4771 2 0 0 3.4 16 0.0720
3985 "ακρωτηριασμό" 21 18 0.9067 1.3424 0.3268 1.2788 18 3 0 2.15 12 0.7565
3986 "ακρωτηριασμοί" 11 11 0.4749 1.0792 0.1997 1.0792 9 2 2 2.4 13 0.3962
3987 "ακρωτηριασμός" 11 11 0.4749 1.0792 0.1997 1.0792 11 0 2 2.45 13 0.3962
3988 "ακρωτηριασμού" 7 5 0.3022 0.9031 0.0908 0.7782 7 0 2 2.5 13 0.2522
3989 "ακρωτηριασμούς" 18 12 0.7772 1.2788 0.2179 1.1139 18 0 0 2.8 14 0.6484
3990 "ακρωτηριασμών" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 0 2.45 13 0.0360
3991 "ακρωτηριάσουμε" 5 4 0.2159 0.7782 0.0726 0.6990 5 0 1 3.1 14 0.1801
3992 "ακρωτηριάσουν" 2 2 0.0864 0.4771 0.0363 0.4771 2 0 1 2.65 13 0.0720
3993 "Ακρωτηριάστε" 1 1 0.0432 0.3010 0.0182 0.3010 0 1 1 2.1 12 0.0360
3994 "ακρωτηριαστεί" 5 5 0.2159 0.7782 0.0908 0.7782 5 0 1 2.4 13 0.1801
3995 "ακρωτηριάστηκα" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 1 3.2 14 0.0360
3996 "ακρωτηριάστηκαν" 11 11 0.4749 1.0792 0.1997 1.0792 11 0 1 3.6 15 0.3962
3997 "ακρωτηριάστηκε" 5 5 0.2159 0.7782 0.0908 0.7782 5 0 1 3.1 14 0.1801
3998 "Ακρωτηριάστηκες" 1 1 0.0432 0.3010 0.0182 0.3010 0 1 0 3.45 15 0.0360
3999 "ακρωτηριαστούμε" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 0 3.5 15 0.0360
4000 "ακρωτηριαστώ" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 1 2.3 12 0.0360
4001 "ακρωτηριάσω" 7 4 0.3022 0.9031 0.0726 0.6990 7 0 4 2.1 11 0.2522
4002 "ακρωτήριο" 28 13 1.2089 1.4624 0.2360 1.1461 15 13 1 2.6 9 1.0086
4003 "Ακρωτηρίου" 4 3 0.1727 0.6990 0.0545 0.6021 1 3 0 2.75 10 0.1441
4004 "ακτές" 178 138 7.6852 2.2529 2.5054 2.1430 174 4 7 1.6 5 6.4118
4005 "ακτή" 727 447 31.3886 2.8621 8.1155 2.6513 597 130 11 1.25 4 26.1876
4006 "ακτήμονες" 2 2 0.0864 0.4771 0.0363 0.4771 2 0 0 3.15 9 0.0720
4007 "ακτής" 69 55 2.9791 1.8451 0.9985 1.7482 43 26 9 1.4 5 2.4855
4008 "ακτιβιστές" 17 15 0.7340 1.2553 0.2723 1.2041 17 0 1 3 10 0.6124
4009 "ακτιβιστή" 2 2 0.0864 0.4771 0.0363 0.4771 2 0 0 3.25 9 0.0720
4010 "ακτιβιστής" 14 13 0.6045 1.1761 0.2360 1.1461 14 0 1 3.1 10 0.5043
4011 "ακτιβίστρια" 9 9 0.3886 1.0000 0.1634 1.0000 9 0 0 3.4 11 0.3242
4012 "ακτιβίστριας" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 0 4.05 12 0.0360
4013 "ακτιβιστών" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 0 3.5 10 0.0360
4014 "ακτίδα" 2 2 0.0864 0.4771 0.0363 0.4771 2 0 3 1.8 6 0.0720
4015 "ακτίδες" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 3 1.8 7 0.0360
4016 "ακτίνα" 452 298 19.5153 2.6561 5.4103 2.4757 421 31 1 1.9 6 16.2817
4017 "ακτίνας" 31 28 1.3384 1.5051 0.5084 1.4624 28 3 1 2.05 7 1.1167
4018 "ακτίνες" 223 155 9.6281 2.3502 2.8141 2.1931 210 13 3 1.85 7 8.0328
4019 "ακτινίδια" 4 4 0.1727 0.6990 0.0726 0.6990 4 0 1 3.05 9 0.1441
4020 "ακτινίδιο" 16 9 0.6908 1.2304 0.1634 1.0000 11 5 1 3.65 9 0.5763
4021 "ακτινικά" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 1 2.65 8 0.0360
4022 "ακτινική" 2 1 0.0864 0.4771 0.0182 0.3010 2 0 1 2.8 8 0.0720
4023 "ακτινοβόλα" 4 2 0.1727 0.6990 0.0363 0.4771 3 1 1 3.1 10 0.1441
4024 "ακτινοβολεί" 13 10 0.5613 1.1461 0.1816 1.0414 10 3 0 2.95 11 0.4683
4025 "ακτινοβολείς" 7 6 0.3022 0.9031 0.1089 0.8451 4 3 0 2.9 12 0.2522
4026 "ακτινοβολείται" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 0 4.1 14 0.0360
4027 "ακτινοβοληθεί" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 0 3.3 13 0.0360
4028 "ακτινοβολήθηκε" 4 4 0.1727 0.6990 0.0726 0.6990 3 1 0 4 14 0.1441
4029 "ακτινοβολημένα" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 1 3.65 14 0.0360
4030 "Ακτινοβολημένη" 1 1 0.0432 0.3010 0.0182 0.3010 0 1 1 3.7 14 0.0360
4031 "ακτινοβολημένος" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 0 4.3 15 0.0360
4032 "ακτινοβολήσαμε" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 0 3.5 14 0.0360
4033 "ακτινοβολήσεις" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 0 3.1 14 0.0360
4034 "ακτινοβολήσετε" 2 2 0.0864 0.4771 0.0363 0.4771 2 0 0 3.25 14 0.0720
4035 "Ακτινοβόληση" 2 2 0.0864 0.4771 0.0363 0.4771 0 2 1 2.75 12 0.0720
4036 "ακτινοβόλησης" 4 2 0.1727 0.6990 0.0363 0.4771 4 0 0 3.15 13 0.1441
4037 "ακτινοβολήσουμε" 3 2 0.1295 0.6021 0.0363 0.4771 3 0 0 3.9 15 0.1081
4038 "ακτινοβολήστε" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 0 3.2 13 0.0360
4039 "ακτινοβολήσω" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 1 2.9 12 0.0360
4040 "ακτινοβολία" 128 89 5.5265 2.1106 1.6158 1.9542 125 3 0 2.9 11 4.6108
4041 "ακτινοβολίας" 44 34 1.8997 1.6532 0.6173 1.5441 43 1 1 2.9 12 1.5849
4042 "ακτινοβολίες" 14 11 0.6045 1.1761 0.1997 1.0792 13 1 1 2.9 12 0.5043
4043 "ακτινοβολιών" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 0 3.3 12 0.0360
4044 "ακτινοβόλο" 6 5 0.2591 0.8451 0.0908 0.7782 6 0 1 2.95 10 0.2161
4045 "ακτινοβολούν" 4 4 0.1727 0.6990 0.0726 0.6990 4 0 0 3.15 12 0.1441
4046 "ακτινοβολούσα" 2 2 0.0864 0.4771 0.0363 0.4771 2 0 1 3.25 13 0.0720
4047 "ακτινοβολούσε" 5 5 0.2159 0.7782 0.0908 0.7782 4 1 1 3.2 13 0.1801
4048 "Ακτινοβολούσες" 1 1 0.0432 0.3010 0.0182 0.3010 0 1 0 3.7 14 0.0360
4049 "ακτινοβολώντας" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 0 4.2 14 0.0360
4050 "ακτινογραφήσουμε" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 0 4.8 16 0.0360
4051 "ακτινογραφία" 77 64 3.3245 1.8921 1.1619 1.8129 74 3 0 3.2 12 2.7737
4052 "ακτινογραφίας" 4 3 0.1727 0.6990 0.0545 0.6021 4 0 1 3.25 13 0.1441
4053 "ακτινογραφίες" 92 67 3.9721 1.9685 1.2164 1.8325 89 3 1 3.35 13 3.3140
4054 "ακτινογραφικό" 2 2 0.0864 0.4771 0.0363 0.4771 2 0 0 3.4 13 0.0720
4055 "ακτινογραφιών" 2 2 0.0864 0.4771 0.0363 0.4771 2 0 0 3.8 13 0.0720
4056 "Ακτινογράφος" 1 1 0.0432 0.3010 0.0182 0.3010 0 1 0 3.35 12 0.0360
4057 "ακτινογραφούμε" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 0 4.05 14 0.0360
4058 "ακτινοθεραπεία" 6 5 0.2591 0.8451 0.0908 0.7782 5 1 0 4.45 14 0.2161
4059 "ακτινολογικό" 15 12 0.6476 1.2041 0.2179 1.1139 13 2 0 3.6 12 0.5403
4060 "ακτινολόγο" 2 2 0.0864 0.4771 0.0363 0.4771 2 0 0 3.05 10 0.0720
4061 "ακτινολόγοι" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 1 3.15 11 0.0360
4062 "ακτινολόγος" 5 5 0.2159 0.7782 0.0908 0.7782 4 1 1 3.2 11 0.1801
4063 "ακτινών" 11 11 0.4749 1.0792 0.1997 1.0792 11 0 0 1.9 7 0.3962
4064 "ακτίνων" 24 16 1.0362 1.3979 0.2905 1.2304 22 2 0 1.9 7 0.8645
4065 "ακτινωτά" 4 4 0.1727 0.6990 0.0726 0.6990 4 0 1 2.65 8 0.1441
4066 "ακτινωτό" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 1 2.7 8 0.0360
4067 "Ακτίου" 1 1 0.0432 0.3010 0.0182 0.3010 0 1 4 1.8 6 0.0360
4068 "ακτογραμμή" 8 7 0.3454 0.9542 0.1271 0.9031 6 2 0 3.7 10 0.2882
4069 "ακτογραμμής" 7 6 0.3022 0.9031 0.1089 0.8451 7 0 0 4.25 11 0.2522
4070 "ακτοπλοΐα" 2 2 0.0864 0.4771 0.0363 0.4771 2 0 0 3.2 9 0.0720
4071 "Ακτοπλοϊκή" 1 1 0.0432 0.3010 0.0182 0.3010 0 1 1 3.55 10 0.0360
4072 "ακτοπλοϊκό" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 1 3.45 10 0.0360
4073 "ακτοφύλακα" 2 1 0.0864 0.4771 0.0182 0.3010 2 0 1 3.15 10 0.0720
4074 "Ακτοφυλακή" 123 62 5.3106 2.0934 1.1256 1.7993 44 79 1 3.45 10 4.4306
4075 "ακτοφυλακής" 17 13 0.7340 1.2553 0.2360 1.1461 11 6 0 3.4 11 0.6124
4076 "ακτών" 10 10 0.4318 1.0414 0.1816 1.0414 8 2 7 1.5 5 0.3602
4077 "ακυβέρνητα" 4 2 0.1727 0.6990 0.0363 0.4771 4 0 2 2.55 10 0.1441
4078 "ακυβέρνητη" 7 7 0.3022 0.9031 0.1271 0.9031 6 1 2 2.4 10 0.2522
4079 "ακυβέρνητο" 18 6 0.7772 1.2788 0.1089 0.8451 17 1 2 2.5 10 0.6484
4080 "ακυβέρνητοι" 3 3 0.1295 0.6021 0.0545 0.6021 3 0 1 2.8 11 0.1081
4081 "ακυβέρνητος" 3 3 0.1295 0.6021 0.0545 0.6021 3 0 1 2.65 11 0.1081
4082 "ακυβέρνητους" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 0 3.25 12 0.0360
4083 "ακυκλοφόρητο" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 0 3.5 12 0.0360
4084 "ακυκλοφόρητου" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 0 4 13 0.0360
4085 "Ακύλα" 4 2 0.1727 0.6990 0.0363 0.4771 0 4 5 1.5 5 0.1441
4086 "Ακύλας" 4 1 0.1727 0.6990 0.0182 0.3010 0 4 1 1.85 6 0.1441
4087 "άκυρα" 6 6 0.2591 0.8451 0.1089 0.8451 5 1 5 1.5 5 0.2161
4088 "άκυρες" 11 5 0.4749 1.0792 0.0908 0.7782 11 0 1 1.8 6 0.3962
4089 "άκυρη" 34 24 1.4680 1.5441 0.4357 1.3979 20 14 2 1.8 5 1.2247
4090 "άκυρο" 50 33 2.1588 1.7076 0.5991 1.5315 36 14 3 1.65 5 1.8011
4091 "άκυροι" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 2 1.85 6 0.0360
4092 "άκυρον" 2 1 0.0864 0.4771 0.0182 0.3010 2 0 4 1.7 6 0.0720
4093 "άκυρος" 11 7 0.4749 1.0792 0.1271 0.9031 8 3 3 1.7 6 0.3962
4094 "ακυρωθεί" 65 60 2.8064 1.8195 1.0893 1.7853 65 0 2 2.35 8 2.3414
4095 "ακυρώθηκα" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 1 2.6 9 0.0360
4096 "ακυρώθηκαν" 24 22 1.0362 1.3979 0.3994 1.3617 19 5 0 2.65 10 0.8645
4097 "ακυρώθηκε" 132 114 5.6992 2.1239 2.0697 2.0607 102 30 1 2.6 9 4.7548
4098 "ακυρωθούμε" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 2 2.7 10 0.0360
4099 "ακυρωθούν" 5 5 0.2159 0.7782 0.0908 0.7782 5 0 2 2.75 9 0.1801
4100 "ακυρωμένες" 2 2 0.0864 0.4771 0.0363 0.4771 2 0 1 2.8 10 0.0720
4101 "ακυρωμένη" 3 3 0.1295 0.6021 0.0545 0.6021 3 0 0 2.65 9 0.1081
4102 "ακυρωμένος" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 1 2.5 10 0.0360
4103 "ακυρωμένους" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 0 2.75 11 0.0360
4104 "άκυρων" 3 2 0.1295 0.6021 0.0363 0.4771 3 0 1 1.7 6 0.1081
4105 "ακύρωνα" 4 4 0.1727 0.6990 0.0726 0.6990 3 1 4 1.7 7 0.1441
4106 "ακυρώναμε" 5 5 0.2159 0.7782 0.0908 0.7782 4 1 2 2.4 9 0.1801
4107 "ακύρωναν" 3 3 0.1295 0.6021 0.0545 0.6021 3 0 1 2.1 8 0.1081
4108 "ακυρώνατε" 2 2 0.0864 0.4771 0.0363 0.4771 2 0 3 2.25 9 0.0720
4109 "ακύρωνε" 4 4 0.1727 0.6990 0.0726 0.6990 4 0 3 1.75 7 0.1441
4110 "ακυρώνει" 25 25 1.0794 1.4150 0.4539 1.4150 19 6 2 1.8 8 0.9005
4111 "ακυρώνεις" 19 19 0.8203 1.3010 0.3450 1.3010 17 2 1 2.3 9 0.6844
4112 "ακυρώνεστε" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 0 2.65 10 0.0360
4113 "ακυρώνεται" 79 71 3.4109 1.9031 1.2890 1.8573 68 11 0 2.55 10 2.8457
4114 "ακυρώνετε" 8 5 0.3454 0.9542 0.0908 0.7782 7 1 2 2.1 9 0.2882
4115 "ακυρώνονται" 9 8 0.3886 1.0000 0.1452 0.9542 9 0 1 2.7 11 0.3242
4116 "ακυρώνοντας" 2 2 0.0864 0.4771 0.0363 0.4771 2 0 1 2.7 11 0.0720
4117 "ακυρωνόταν" 3 3 0.1295 0.6021 0.0545 0.6021 3 0 0 2.75 10 0.1081
4118 "ακυρώνουμε" 19 19 0.8203 1.3010 0.3450 1.3010 14 5 2 2.65 10 0.6844
4119 "ακυρώνουν" 9 9 0.3886 1.0000 0.1634 1.0000 8 1 2 2.4 9 0.3242
4120 "ακυρώνω" 22 22 0.9499 1.3617 0.3994 1.3617 13 9 3 2 7 0.7925
4121 "ακύρωσα" 57 52 2.4610 1.7634 0.9441 1.7243 39 18 4 1.75 7 2.0532
4122 "Ακυρώσαμε" 6 6 0.2591 0.8451 0.1089 0.8451 2 4 3 2.25 9 0.2161
4123 "ακύρωσαν" 45 39 1.9429 1.6628 0.7081 1.6021 34 11 1 1.95 8 1.6210
4124 "ακυρώσανε" 2 1 0.0864 0.4771 0.0182 0.3010 1 1 2 2.3 9 0.0720
4125 "ακυρώσατε" 5 5 0.2159 0.7782 0.0908 0.7782 4 1 4 2.1 9 0.1801
4126 "ακύρωσε" 180 166 7.7716 2.2577 3.0138 2.2227 102 78 4 1.6 7 6.4839
4127 "ακυρώσει" 62 58 2.6769 1.7993 1.0530 1.7709 62 0 3 1.75 8 2.2333
4128 "ακυρώσεις" 59 53 2.5474 1.7782 0.9622 1.7324 57 2 1 1.85 9 2.1253
4129 "ακύρωσες" 24 23 1.0362 1.3979 0.4176 1.3802 20 4 2 1.8 8 0.8645
4130 "ακυρώσετε" 26 23 1.1226 1.4314 0.4176 1.3802 26 0 2 1.95 9 0.9366
4131 "ακυρώσεων" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 0 2.35 9 0.0360
4132 "ακύρωση" 85 67 3.6699 1.9345 1.2164 1.8325 63 22 3 1.8 7 3.0618
4133 "ακύρωσης" 10 10 0.4318 1.0414 0.1816 1.0414 10 0 1 2.2 8 0.3602
4134 "ακυρώσουμε" 66 57 2.8496 1.8261 1.0349 1.7634 66 0 2 2.45 10 2.3774
4135 "ακυρώσουν" 23 22 0.9930 1.3802 0.3994 1.3617 23 0 2 2.4 9 0.8285
4136 "Ακυρώστε" 34 30 1.4680 1.5441 0.5447 1.4914 8 26 0 1.8 8 1.2247
4137 "ακυρώσω" 147 132 6.3468 2.1703 2.3965 2.1239 147 0 4 1.8 7 5.2952
4138 "άκων" 2 1 0.0864 0.4771 0.0182 0.3010 2 0 7 1.35 4 0.0720
4139 "αλά" 312 77 13.4708 2.4955 1.3980 1.8921 289 23 16 1 3 11.2387
4140 "αλαβάστρινη" 3 3 0.1295 0.6021 0.0545 0.6021 3 0 1 4.6 11 0.1081
4141 "αλαβάστρινο" 2 2 0.0864 0.4771 0.0363 0.4771 2 0 1 4.55 11 0.0720
4142 "αλάβαστρο" 7 5 0.3022 0.9031 0.0908 0.7782 6 1 0 3.65 9 0.2522
4143 "αλάβωτος" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 0 2.85 8 0.0360
4144 "αλαζόνα" 12 12 0.5181 1.1139 0.2179 1.1139 12 0 1 2.4 7 0.4323
